field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,n_negative,n_zero,n_positive,max_precision,sparsity,cardinality,uniqueness_ratio
Job_Number,String,true,,102133451,X08055450,,Unsorted,0.9998,9,9,171828,1.6156,0,0,0,,,,,,,,0,,,,,0,106358,1
Job_Type,String,true,,Alteration,New Building,,Unsorted,0.6191,10,12,1130542,10.6296,0.9289,0.8628,0.0874,,,,,,,,0,,,,,0,3,0
ResidFlag,String,true,,Residential,Residential,,Ascending,1,11,11,1169938,11,0,0,0,,,,,,,,0,,,,,0,1,0
NonresFlag,String,true,,Non-Residential,Non-Residential,,Ascending,1,0,15,266415,2.5049,5.5971,31.3274,2.2345,,,,,,,,88597,,,,,0.833,25961,0.2441
Job_Status,String,true,,1. Filed Application,9. Withdrawn,,Unsorted,0.5302,12,35,2546263,23.9405,4.2953,18.4495,0.1794,,,,,,,,0,,,,,0,6,0.0001
CompltYear,Integer,,131933616,2010,2025,15,Unsorted,0.3093,,,,,,,,2016.9635,0.0172,2016.9587,2016.9539,4.4076,19.4267,0.2185,40946,0,0,65412,,0.385,17,0.0002
PermitYear,Integer,,164655432,1998,2025,27,Unsorted,0.5453,,,,,,,,2014.9471,0.0197,2014.9392,2014.9314,5.6252,31.643,0.2792,24641,0,0,81717,,0.2317,28,0.0003
ClassAInit,Integer,,769976,0,44695,44695,Unsorted,0.3895,,,,,,,,7.2876,0.4506,0,,146.4642,21451.7662,2009.7799,702,0,38442,67214,,0.0066,515,0.0048
ClassAProp,Integer,,1357414,0,44695,44695,Unsorted,0.3116,,,,,,,,12.7662,0.459,0,,149.6751,22402.6417,1172.4357,29,0,14743,91586,,0.0003,622,0.0058
ClassANet,Integer,,584248,-303,1313,1616,Unsorted,0.2991,,,,,,,,5.5312,0.1058,,,34.3763,1181.7296,621.4938,731,20620,29602,55405,,0.0069,595,0.0056
HotelInit,Integer,,55111,0,2191,2191,Unsorted,0.9882,,,,,,,,1.4345,0.1618,0,,31.7048,1005.1974,2210.152,67940,0,38187,231,,0.6388,171,0.0016
HotelProp,Integer,,152001,0,2191,2191,Unsorted,0.9124,,,,,,,,7.8884,0.4106,0,,56.9995,3248.9397,722.576,87089,0,18316,953,,0.8188,349,0.0033
OtherBInit,Integer,,31084,0,1395,1395,Unsorted,0.9468,,,,,,,,0.807,0.0677,0,,13.2784,176.3162,1645.4057,67840,0,37375,1143,,0.6378,127,0.0012
OtherBProp,Integer,,27014,0,1395,1395,Unsorted,0.9554,,,,,,,,1.4101,0.137,0,,18.9687,359.8115,1345.237,87200,0,18703,455,,0.8199,148,0.0014
Units_CO,Integer,,834763,0,3491,3491,Unsorted,0.3348,,,,,,,,15.239,0.2606,0,,60.9924,3720.0689,400.2381,51580,0,429,54349,,0.485,573,0.0054
Boro,Integer,,347861,1,5,4,Unsorted,0.9997,,,,,,,,3.2707,0.0035,2.994,2.6264,1.1561,1.3367,35.3489,0,0,0,106358,,0,5,0
BIN,Integer,,367908173086,462522,5869568,5407046,Unsorted,0.0184,,,,,,,,3459149.0352,3731.7617,3163780.7461,2767404.1342,1217023.5682,1481146365601.668,35.1827,0,0,0,106358,,0,85995,0.8085
BBL,Integer,,352784232750650,1000010001,5099990001,4099980000,Unsorted,0.0386,,,,,,,,3316950607.8588,3587801.4027,3036373699.2148,2662380944.8617,1170074396.8405,1369074094141720832,35.2756,0,0,0,106358,,0,81665,0.7678
AddressNum,String,true,,1,9B,,Unsorted,0.0327,1,12,396090,3.7241,1.3057,1.7049,0.3506,,,,,,,,0,,,,,0,17098,0.1608
AddressSt,String,true,,1 AVENUE,ZWICKY AVENUE,,Unsorted,0.1093,2,32,1347844,12.6727,3.0515,9.3119,0.2408,,,,,,,,0,,,,,0,5924,0.0557
Occ_Init,String,true,,Assembly: Eating & Drinking (A-2),Unknown (H-2),,Unsorted,0.4502,0,38,2347056,22.0675,13.1211,172.1624,0.5946,,,,,,,,11586,,,,,0.1089,42,0.0004
Occ_Prop,String,true,,Assembly: Eating & Drinking (A-2),Unknown (H-2),,Unsorted,0.5154,0,38,2794817,26.2774,13.4553,181.0449,0.512,,,,,,,,15960,,,,,0.1501,42,0.0004
Bldg_Class,String,true,,1 Family,Z9,,Unsorted,0.2295,0,8,293215,2.7569,1.8825,3.5438,0.6828,,,,,,,,705,,,,,0.0066,169,0.0016
Job_Desc,String,true,,#460 - NEW EXTENSION TO REAR. CREATE COMMUNITY RESIDENCE FOR MENTAL CHAL LENGED ADULTS AND OBTAIN CERTIFICATE OFOCCUPANCY.,vertical extension one story and attic over exiting 1 story  including foundation structural plumbing ( will be filed under separated application)  required new c of o for two family.,,Unsorted,0.0524,0,414,8568755,80.5652,83.8619,7032.8188,1.0409,,,,,,,,35970,,,,,0.3382,58978,0.5545
DateFiled,Date,,,1998-08-07,2025-06-27,9821,Unsorted,0.4966,,,,,,,,2015-06-21,6.27313,16476.88132,16341.08599,2045.83003,4185420.5259,12.3186,0,,,,,0,6747,0.0634
DatePermit,Date,,,1998-09-16,2025-08-26,9841,Unsorted,0.0912,,,,,,,,2015-06-14,7.17639,16469.37696,16333.79398,2051.69428,4209449.40436,12.3592,24622,,,,,0.2315,6268,0.0589
DateLstUpd,Date,,,1998-09-16,2025-07-11,9795,Unsorted,0.0533,,,,,,,,2018-05-14,5.24363,17581.32711,17496.68304,1710.08144,2924378.54476,9.6805,0,,,,,0,4413,0.0415
DateComplt,Date,,,2010-01-04,2025-08-28,5715,Unsorted,0.0518,,,,,,,,2017-06-16,6.29293,17259.07772,17184.17269,1609.46607,2590381.01695,9.285,40946,,,,,0.385,4010,0.0377
ZoningDst1,String,true,,BPC,Y4-1,,Unsorted,0.2403,0,9,273130,2.568,1.2345,1.5241,0.4807,,,,,,,,16787,,,,,0.1578,174,0.0016
ZoningDst2,String,true,,81007,R9X,,Unsorted,0.1924,0,9,16004,0.1505,0.7584,0.5752,5.0401,,,,,,,,101446,,,,,0.9538,147,0.0014
ZoningDst3,String,true,,C-O,R9X,,Unsorted,0.1566,0,7,591,0.0056,0.1861,0.0346,33.4947,,,,,,,,106189,,,,,0.9984,56,0.0005
SpeclDst1,String,true,,125,WP - WILLETS POINT,,Unsorted,0.4564,0,59,93004,0.8744,4.1929,17.5807,4.795,,,,,,,,92637,,,,,0.871,177,0.0017
SpeclDst2,String,true,,125TH,WP,,Unsorted,0.5453,0,5,18209,0.1712,0.6953,0.4835,4.0613,,,,,,,,99882,,,,,0.9391,90,0.0008
Landmark,String,true,,Yes,Yes,,Ascending,1,0,3,18618,0.1751,0.7134,0.509,4.0756,,,,,,,,100152,,,,,0.9416,9407,0.0884
FloorsInit,Integer,,224352,0,999,999,Unsorted,0.3508,,,,,,,,3.0625,0.0207,0,,5.5973,31.3303,182.771,33100,0,5202,68056,,0.3112,74,0.0007
FloorsProp,Integer,,380624,0,999,999,Unsorted,0.4,,,,,,,,4.0326,0.0188,0,,5.7912,33.5376,143.6091,11971,0,827,93560,,0.1126,82,0.0008
Enlargemnt,String,true,,Horizontal,Vertical,,Unsorted,0.9987,0,23,220468,2.0729,6.3455,40.2653,3.0612,,,,,,,,95270,,,,,0.8957,4,0
Ownership,String,true,,"Government, City: City Agency",Private Non-Profit: Unspecified,,Unsorted,0.5341,0,42,3220804,30.2827,1.5821,2.5031,0.0522,,,,,,,,123,,,,,0.0012,28,0.0003
CenBlock20,Integer,,*OVERFLOW*,360050002001000,360850323001023,800321000023,Unsorted,0.1165,,,,,,,,360611254949874.1875,722577708.6211,360611177928941.1875,360611100876271.0625,235640113357.7327,55526263023245105037312,0.0653,10,0,0,106348,,0.0001,21934,0.2062
CenTract20,Integer,,3835028574118344,36005000200,36085032300,80032100,Unsorted,0.1309,,,,,,,,36061125494.7751,72257.7709,36061117792.6882,36061110087.4148,23564011.3399,555262630424591.125,0.0653,10,0,0,106348,,0.0001,2213,0.0208
BCTCB2020,Integer,,3524451409296826,10002011000,50323001023,40320990023,Unsorted,0.1164,,,,,,,,33140739922.6767,35748032.329,30345652575.6997,26615729785.2387,11657805506.3475,135904429223826571264,35.1767,10,0,0,106348,,0.0001,21934,0.2062
BCT2020,Integer,,352445118344,1000201,5032300,4032099,Unsorted,0.1308,,,,,,,,3314073.7799,3574.8033,3034565.001,2661572.6412,1165780.5666,1359044329465.9685,35.1767,10,0,0,106348,,0.0001,2213,0.0208
NTA2020,String,true,,BK0101,SI0391,,Unsorted,0.1654,0,6,638088,5.9994,0.0582,0.0034,0.0097,,,,,,,,10,,,,,0.0001,212,0.002
NTAName20,String,true,,Allerton,Woodside,,Unsorted,0.1682,0,56,2329752,21.9048,11.4727,131.623,0.5238,,,,,,,,10,,,,,0.0001,212,0.002
CDTA2020,String,true,,BK01,SI03,,Unsorted,0.2396,0,4,425392,3.9996,0.0388,0.0015,0.0097,,,,,,,,10,,,,,0.0001,62,0.0006
CDTAName20,String,true,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),SI03 South Shore (CD 3 Approximation),,Unsorted,0.2396,0,63,5146900,48.3922,8.4037,70.6224,0.1737,,,,,,,,10,,,,,0.0001,62,0.0006
CommntyDst,Integer,,35542418,101,595,494,Unsorted,0.2394,,,,,,,,334.2086,0.353,307.4075,271.8427,115.1286,13254.5902,34.4481,10,0,0,106348,,0.0001,62,0.0006
CouncilDst,String,true,,01,50,,Unsorted,0.2062,0,2,62242,0.5852,0.0253,0.0006,0.0433,,,,,,,,10,,,,,0.0001,52,0.0005
SchSubDist,String,true,,10_1,9_4,,Unsorted,0.2058,0,4,409309,3.8484,0.3676,0.1352,0.0955,,,,,,,,58,,,,,0.0005,97,0.0009
SchCommnty,String,true,,01,32,,Unsorted,0.3451,0,2,62332,0.5861,0.0253,0.0006,0.0432,,,,,,,,10,,,,,0.0001,33,0.0003
SchElmntry,Float,,39311989,1.0,933.0,932,Unsorted,0.1418,,,,,,,,369.6786,0.7103,269.5493,89.1506,231.6402,53657.2014,62.6599,17,0,0,106341,1,0.0002,714,0.0067
SchMiddle,Float,,19057019,2.0,421.0,419,Unsorted,0.1835,,,,,,,,179.2084,0.4276,100.6266,31.8278,139.4541,19447.449,77.8167,18,0,0,106340,1,0.0002,243,0.0023
FireCmpany,String,true,,E001,Q288,,Unsorted,0.1452,0,4,425392,3.9996,0.0388,0.0015,0.0097,,,,,,,,10,,,,,0.0001,349,0.0033
FireBattln,String,true,,01,9,,Unsorted,0.2031,0,2,62258,0.5854,0.0392,0.0015,0.067,,,,,,,,10,,,,,0.0001,55,0.0005
FireDivsn,String,true,,01,8,,Unsorted,0.5721,0,2,153889,1.4469,0.0843,0.0071,0.0583,,,,,,,,10,,,,,0.0001,15,0.0001
PolicePcnt,String,true,,001,94,,Unsorted,0.1645,0,3,189822,1.7847,0.0558,0.0031,0.0312,,,,,,,,10,,,,,0.0001,107,0.001
PL_FIRM07,Integer,,7881,1,1,0,Ascending,1,,,,,,,,1,0,1,1,0,0,0,98477,0,0,7881,,0.9259,10041,0.0944
PL_PFIRM15,Integer,,10978,1,1,0,Ascending,1,,,,,,,,1,0,1,1,0,0,0,95380,0,0,10978,,0.8968,13947,0.1311
Latitude,Float,,4328007.2287,40.498691000654134,40.91457127781939,0.4159,Unsorted,0.014,,,,,,,,40.6966,0.0003,40.6966,40.6965,0.0844,0.0071,0.2074,10,0,0,106348,15,0.0001,86235,0.8108
Longitude,Float,,-7862570.5912,-74.255196,-73.70101297273376,0.5542,Unsorted,0.0335,,,,,,,,-73.9325,0.0003,,,0.1105,0.0122,-0.1494,10,106348,0,0,14,0.0001,86257,0.811
GeomSource,String,true,,BBL DOB MapPLUTO,Lat/Lon geosupport,,Unsorted,0.8144,0,39,2636325,24.7873,3.107,9.6532,0.1253,,,,,,,,10,,,,,0.0001,7,0.0001
DCPEdited,String,true,,classa_init,otherb_prop/otherb_init/hotel_prop/hotel_init/classa_prop,,Unsorted,0.2465,0,151,367463,3.455,12.1029,146.4794,3.503,,,,,,,,95154,,,,,0.8947,889,0.0084
Version,String,true,,25Q2,25Q2,,Ascending,1,4,4,425432,4,0,0,0,,,,,,,,0,,,,,0,1,0
