year,category,complaints
2010,Boilers,2043
2010,Heating/Hot Water,215374
2010,Homeless/Shelter,1787
2010,Plumbing,115606
2010,Snow/Ice,12024
2010,Water/Leak,70342
2011,Boilers,1840
2011,Heating/Hot Water,191085
2011,Homeless/Shelter,1839
2011,Plumbing,117716
2011,Snow/Ice,12123
2011,Water/Leak,61578
2012,Boilers,1720
2012,Heating/Hot Water,183948
2012,Homeless/Shelter,2186
2012,Plumbing,91205
2012,Snow/Ice,567
2012,Water/Leak,57676
2013,Boilers,1928
2013,Heating/Hot Water,204304
2013,Homeless/Shelter,2932
2013,Plumbing,89810
2013,Snow/Ice,2475
2013,Water/Leak,53186
2014,Boilers,1636
2014,Heating/Hot Water,231930
2014,Homeless/Shelter,4912
2014,Plumbing,67221
2014,Snow/Ice,14764
2014,Water/Leak,84813
2015,Boilers,1411
2015,Heating/Hot Water,227048
2015,Homeless/Shelter,11384
2015,Plumbing,60075
2015,Snow/Ice,13002
2015,Water/Leak,106649
2016,Boilers,1770
2016,Heating/Hot Water,229078
2016,Homeless/Shelter,50783
2016,Plumbing,57848
2016,Snow/Ice,5485
2016,Water/Leak,105272
2017,Boilers,1540
2017,Heating/Hot Water,214639
2017,Homeless/Shelter,28324
2017,Plumbing,58129
2017,Snow/Ice,11792
2017,Water/Leak,97278
2018,Boilers,1641
2018,Heating/Hot Water,225138
2018,Homeless/Shelter,24435
2018,Plumbing,61911
2018,Snow/Ice,4593
2018,Water/Leak,115543
2019,Boilers,2412
2019,Heating/Hot Water,213645
2019,Homeless/Shelter,28128
2019,Plumbing,41076
2019,Snow/Ice,1927
2019,Water/Leak,88398
2020,Boilers,2142
2020,Heating/Hot Water,165573
2020,Homeless/Shelter,27228
2020,Plumbing,39535
2020,Snow/Ice,3960
2020,Water/Leak,72388
2021,Boilers,3539
2021,Heating/Hot Water,200522
2021,Homeless/Shelter,60675
2021,Plumbing,54767
2021,Snow/Ice,8250
2021,Water/Leak,91959
2022,Boilers,3535
2022,Heating/Hot Water,265641
2022,Homeless/Shelter,79538
2022,Plumbing,60344
2022,Snow/Ice,5871
2022,Water/Leak,98862
2023,Boilers,3234
2023,Heating/Hot Water,231962
2023,Homeless/Shelter,73130
2023,Plumbing,66143
2023,Snow/Ice,196
2023,Water/Leak,99848
2024,Boilers,2802
2024,Heating/Hot Water,265615
2024,Homeless/Shelter,82482
2024,Plumbing,69050
2024,Snow/Ice,5213
2024,Water/Leak,110958
2025,Boilers,3997
2025,Heating/Hot Water,317118
2025,Homeless/Shelter,85169
2025,Plumbing,72643
2025,Snow/Ice,16698
2025,Water/Leak,115909
2026,Boilers,934
2026,Heating/Hot Water,129357
2026,Homeless/Shelter,6794
2026,Plumbing,17423
2026,Snow/Ice,32084
2026,Water/Leak,21933
