date,category,complaints
2010-01-01,Boilers,3
2010-01-01,Heating/Hot Water,773
2010-01-01,Homeless/Shelter,2
2010-01-01,Plumbing,150
2010-01-01,Snow/Ice,10
2010-01-01,Water/Leak,70
2010-01-02,Boilers,12
2010-01-02,Heating/Hot Water,1465
2010-01-02,Homeless/Shelter,2
2010-01-02,Plumbing,261
2010-01-02,Snow/Ice,10
2010-01-02,Water/Leak,66
2010-01-03,Boilers,10
2010-01-03,Heating/Hot Water,2807
2010-01-03,Homeless/Shelter,2
2010-01-03,Plumbing,268
2010-01-03,Snow/Ice,14
2010-01-03,Water/Leak,100
2010-01-04,Boilers,17
2010-01-04,Heating/Hot Water,2797
2010-01-04,Homeless/Shelter,2
2010-01-04,Plumbing,616
2010-01-04,Snow/Ice,51
2010-01-04,Water/Leak,230
2010-01-05,Boilers,14
2010-01-05,Heating/Hot Water,2074
2010-01-05,Homeless/Shelter,5
2010-01-05,Plumbing,566
2010-01-05,Snow/Ice,54
2010-01-05,Water/Leak,262
2010-01-06,Boilers,13
2010-01-06,Heating/Hot Water,1491
2010-01-06,Homeless/Shelter,1
2010-01-06,Plumbing,452
2010-01-06,Snow/Ice,42
2010-01-06,Water/Leak,230
2010-01-07,Boilers,10
2010-01-07,Heating/Hot Water,1247
2010-01-07,Homeless/Shelter,3
2010-01-07,Plumbing,412
2010-01-07,Snow/Ice,29
2010-01-07,Water/Leak,249
2010-01-08,Boilers,16
2010-01-08,Heating/Hot Water,1237
2010-01-08,Homeless/Shelter,1
2010-01-08,Plumbing,359
2010-01-08,Snow/Ice,16
2010-01-08,Water/Leak,150
2010-01-09,Boilers,11
2010-01-09,Heating/Hot Water,1352
2010-01-09,Homeless/Shelter,2
2010-01-09,Plumbing,215
2010-01-09,Snow/Ice,13
2010-01-09,Water/Leak,86
2010-01-10,Boilers,10
2010-01-10,Heating/Hot Water,1858
2010-01-10,Plumbing,230
2010-01-10,Snow/Ice,15
2010-01-10,Water/Leak,138
2010-01-11,Boilers,5
2010-01-11,Heating/Hot Water,1786
2010-01-11,Homeless/Shelter,3
2010-01-11,Plumbing,454
2010-01-11,Snow/Ice,40
2010-01-11,Water/Leak,232
2010-01-12,Boilers,7
2010-01-12,Heating/Hot Water,1324
2010-01-12,Homeless/Shelter,1
2010-01-12,Plumbing,436
2010-01-12,Snow/Ice,33
2010-01-12,Water/Leak,232
2010-01-13,Boilers,12
2010-01-13,Heating/Hot Water,1294
2010-01-13,Homeless/Shelter,3
2010-01-13,Plumbing,409
2010-01-13,Snow/Ice,30
2010-01-13,Water/Leak,317
2010-01-14,Boilers,13
2010-01-14,Heating/Hot Water,939
2010-01-14,Homeless/Shelter,4
2010-01-14,Plumbing,373
2010-01-14,Snow/Ice,14
2010-01-14,Water/Leak,212
2010-01-15,Boilers,3
2010-01-15,Heating/Hot Water,731
2010-01-15,Homeless/Shelter,1
2010-01-15,Plumbing,349
2010-01-15,Snow/Ice,10
2010-01-15,Water/Leak,180
2010-01-16,Boilers,6
2010-01-16,Heating/Hot Water,500
2010-01-16,Homeless/Shelter,1
2010-01-16,Plumbing,193
2010-01-16,Snow/Ice,3
2010-01-16,Water/Leak,71
2010-01-17,Boilers,6
2010-01-17,Heating/Hot Water,752
2010-01-17,Homeless/Shelter,1
2010-01-17,Plumbing,204
2010-01-17,Snow/Ice,1
2010-01-17,Water/Leak,50
2010-01-18,Boilers,6
2010-01-18,Heating/Hot Water,704
2010-01-18,Homeless/Shelter,1
2010-01-18,Plumbing,309
2010-01-18,Water/Leak,118
2010-01-19,Boilers,8
2010-01-19,Heating/Hot Water,644
2010-01-19,Homeless/Shelter,9
2010-01-19,Plumbing,418
2010-01-19,Water/Leak,183
2010-01-20,Boilers,12
2010-01-20,Heating/Hot Water,730
2010-01-20,Homeless/Shelter,5
2010-01-20,Plumbing,363
2010-01-20,Snow/Ice,2
2010-01-20,Water/Leak,188
2010-01-21,Boilers,6
2010-01-21,Heating/Hot Water,814
2010-01-21,Homeless/Shelter,3
2010-01-21,Plumbing,366
2010-01-21,Snow/Ice,9
2010-01-21,Water/Leak,189
2010-01-22,Boilers,4
2010-01-22,Heating/Hot Water,769
2010-01-22,Homeless/Shelter,6
2010-01-22,Plumbing,282
2010-01-22,Snow/Ice,4
2010-01-22,Water/Leak,142
2010-01-23,Boilers,7
2010-01-23,Heating/Hot Water,775
2010-01-23,Homeless/Shelter,2
2010-01-23,Plumbing,149
2010-01-23,Snow/Ice,8
2010-01-23,Water/Leak,91
2010-01-24,Boilers,4
2010-01-24,Heating/Hot Water,715
2010-01-24,Plumbing,156
2010-01-24,Snow/Ice,1
2010-01-24,Water/Leak,81
2010-01-25,Boilers,6
2010-01-25,Heating/Hot Water,738
2010-01-25,Homeless/Shelter,2
2010-01-25,Plumbing,675
2010-01-25,Water/Leak,110
2010-01-26,Boilers,9
2010-01-26,Heating/Hot Water,806
2010-01-26,Plumbing,475
2010-01-26,Water/Leak,136
2010-01-27,Boilers,10
2010-01-27,Heating/Hot Water,982
2010-01-27,Homeless/Shelter,1
2010-01-27,Plumbing,387
2010-01-27,Snow/Ice,13
2010-01-27,Water/Leak,143
2010-01-28,Boilers,15
2010-01-28,Heating/Hot Water,1155
2010-01-28,Plumbing,385
2010-01-28,Snow/Ice,6
2010-01-28,Water/Leak,129
2010-01-29,Boilers,13
2010-01-29,Heating/Hot Water,2450
2010-01-29,Homeless/Shelter,1
2010-01-29,Plumbing,494
2010-01-29,Snow/Ice,35
2010-01-29,Water/Leak,145
2010-01-30,Boilers,19
2010-01-30,Heating/Hot Water,2960
2010-01-30,Homeless/Shelter,2
2010-01-30,Plumbing,367
2010-01-30,Snow/Ice,43
2010-01-30,Water/Leak,123
2010-01-31,Boilers,10
2010-01-31,Heating/Hot Water,1911
2010-01-31,Plumbing,237
2010-01-31,Snow/Ice,41
2010-01-31,Water/Leak,160
2010-02-01,Boilers,8
2010-02-01,Heating/Hot Water,1577
2010-02-01,Homeless/Shelter,2
2010-02-01,Plumbing,426
2010-02-01,Snow/Ice,42
2010-02-01,Water/Leak,264
2010-02-02,Boilers,17
2010-02-02,Heating/Hot Water,1152
2010-02-02,Homeless/Shelter,3
2010-02-02,Plumbing,390
2010-02-02,Snow/Ice,37
2010-02-02,Water/Leak,197
2010-02-03,Boilers,17
2010-02-03,Heating/Hot Water,942
2010-02-03,Homeless/Shelter,5
2010-02-03,Plumbing,427
2010-02-03,Snow/Ice,18
2010-02-03,Water/Leak,144
2010-02-04,Boilers,11
2010-02-04,Heating/Hot Water,941
2010-02-04,Homeless/Shelter,3
2010-02-04,Plumbing,379
2010-02-04,Snow/Ice,12
2010-02-04,Water/Leak,209
2010-02-05,Boilers,13
2010-02-05,Heating/Hot Water,915
