month,category,borough,complaints
2010-01,Boilers,BRONX,71
2010-01,Boilers,BROOKLYN,102
2010-01,Boilers,MANHATTAN,76
2010-01,Boilers,QUEENS,46
2010-01,Boilers,STATEN ISLAND,2
2010-01,Heating/Hot Water,BRONX,63
2010-01,Heating/Hot Water,BROOKLYN,115
2010-01,Heating/Hot Water,MANHATTAN,138
2010-01,Heating/Hot Water,QUEENS,68
2010-01,Heating/Hot Water,STATEN ISLAND,12
2010-01,Heating/Hot Water,Unspecified,40184
2010-01,Homeless/Shelter,BRONX,6
2010-01,Homeless/Shelter,BROOKLYN,15
2010-01,Homeless/Shelter,MANHATTAN,30
2010-01,Homeless/Shelter,QUEENS,13
2010-01,Homeless/Shelter,STATEN ISLAND,2
2010-01,Plumbing,BRONX,51
2010-01,Plumbing,BROOKLYN,58
2010-01,Plumbing,MANHATTAN,51
2010-01,Plumbing,QUEENS,91
2010-01,Plumbing,STATEN ISLAND,50
2010-01,Plumbing,Unspecified,10709
2010-01,Snow/Ice,BRONX,69
2010-01,Snow/Ice,BROOKLYN,138
2010-01,Snow/Ice,MANHATTAN,50
2010-01,Snow/Ice,QUEENS,162
2010-01,Snow/Ice,STATEN ISLAND,123
2010-01,Snow/Ice,Unspecified,5
2010-01,Water/Leak,BRONX,448
2010-01,Water/Leak,BROOKLYN,1308
2010-01,Water/Leak,MANHATTAN,654
2010-01,Water/Leak,QUEENS,1827
2010-01,Water/Leak,STATEN ISLAND,575
2010-01,Water/Leak,Unspecified,1
2010-02,Boilers,BRONX,56
2010-02,Boilers,BROOKLYN,75
2010-02,Boilers,MANHATTAN,76
2010-02,Boilers,QUEENS,42
2010-02,Boilers,STATEN ISLAND,7
2010-02,Heating/Hot Water,BRONX,26
2010-02,Heating/Hot Water,BROOKLYN,39
2010-02,Heating/Hot Water,MANHATTAN,60
2010-02,Heating/Hot Water,QUEENS,32
2010-02,Heating/Hot Water,STATEN ISLAND,12
2010-02,Heating/Hot Water,Unspecified,24602
2010-02,Homeless/Shelter,BRONX,3
2010-02,Homeless/Shelter,BROOKLYN,11
2010-02,Homeless/Shelter,MANHATTAN,28
2010-02,Homeless/Shelter,QUEENS,10
2010-02,Homeless/Shelter,STATEN ISLAND,3
2010-02,Plumbing,BRONX,36
2010-02,Plumbing,BROOKLYN,83
2010-02,Plumbing,MANHATTAN,63
2010-02,Plumbing,QUEENS,79
2010-02,Plumbing,STATEN ISLAND,35
2010-02,Plumbing,Unspecified,9330
2010-02,Snow/Ice,BRONX,688
2010-02,Snow/Ice,BROOKLYN,3097
2010-02,Snow/Ice,MANHATTAN,592
2010-02,Snow/Ice,QUEENS,2627
2010-02,Snow/Ice,STATEN ISLAND,1498
2010-02,Snow/Ice,Unspecified,51
2010-02,Water/Leak,BRONX,246
2010-02,Water/Leak,BROOKLYN,639
2010-02,Water/Leak,MANHATTAN,609
2010-02,Water/Leak,QUEENS,1009
2010-02,Water/Leak,STATEN ISLAND,368
2010-02,Water/Leak,Unspecified,1
2010-03,Boilers,BRONX,43
2010-03,Boilers,BROOKLYN,74
2010-03,Boilers,MANHATTAN,48
2010-03,Boilers,QUEENS,42
2010-03,Boilers,STATEN ISLAND,4
2010-03,Heating/Hot Water,BRONX,10
2010-03,Heating/Hot Water,BROOKLYN,28
2010-03,Heating/Hot Water,MANHATTAN,19
2010-03,Heating/Hot Water,QUEENS,23
2010-03,Heating/Hot Water,STATEN ISLAND,3
2010-03,Heating/Hot Water,Unspecified,17596
2010-03,Homeless/Shelter,BRONX,6
2010-03,Homeless/Shelter,BROOKLYN,24
2010-03,Homeless/Shelter,MANHATTAN,66
2010-03,Homeless/Shelter,QUEENS,13
2010-03,Homeless/Shelter,STATEN ISLAND,6
2010-03,Plumbing,BRONX,59
2010-03,Plumbing,BROOKLYN,154
2010-03,Plumbing,MANHATTAN,76
2010-03,Plumbing,QUEENS,153
2010-03,Plumbing,STATEN ISLAND,54
2010-03,Plumbing,Unspecified,13229
2010-03,Snow/Ice,BRONX,37
2010-03,Snow/Ice,BROOKLYN,82
2010-03,Snow/Ice,MANHATTAN,38
2010-03,Snow/Ice,QUEENS,72
2010-03,Snow/Ice,STATEN ISLAND,43
2010-03,Snow/Ice,Unspecified,4
2010-03,Water/Leak,BRONX,374
2010-03,Water/Leak,BROOKLYN,849
2010-03,Water/Leak,MANHATTAN,611
2010-03,Water/Leak,QUEENS,1599
2010-03,Water/Leak,STATEN ISLAND,408
2010-04,Boilers,BRONX,46
2010-04,Boilers,BROOKLYN,27
2010-04,Boilers,MANHATTAN,29
2010-04,Boilers,QUEENS,19
2010-04,Boilers,STATEN ISLAND,2
2010-04,Heating/Hot Water,BRONX,1
2010-04,Heating/Hot Water,BROOKLYN,43
2010-04,Heating/Hot Water,MANHATTAN,5
2010-04,Heating/Hot Water,QUEENS,8
2010-04,Heating/Hot Water,STATEN ISLAND,2
2010-04,Heating/Hot Water,Unspecified,9740
2010-04,Homeless/Shelter,BRONX,11
2010-04,Homeless/Shelter,BROOKLYN,36
2010-04,Homeless/Shelter,MANHATTAN,68
2010-04,Homeless/Shelter,QUEENS,20
2010-04,Plumbing,BRONX,48
2010-04,Plumbing,BROOKLYN,106
2010-04,Plumbing,MANHATTAN,92
2010-04,Plumbing,QUEENS,142
2010-04,Plumbing,STATEN ISLAND,58
2010-04,Plumbing,Unspecified,8783
2010-04,Water/Leak,BRONX,424
2010-04,Water/Leak,BROOKLYN,1039
2010-04,Water/Leak,MANHATTAN,590
2010-04,Water/Leak,QUEENS,1624
2010-04,Water/Leak,STATEN ISLAND,414
2010-04,Water/Leak,Unspecified,2
2010-05,Boilers,BRONX,17
2010-05,Boilers,BROOKLYN,19
2010-05,Boilers,MANHATTAN,14
2010-05,Boilers,QUEENS,20
2010-05,Boilers,STATEN ISLAND,4
2010-05,Heating/Hot Water,BRONX,3
2010-05,Heating/Hot Water,BROOKLYN,21
2010-05,Heating/Hot Water,MANHATTAN,3
2010-05,Heating/Hot Water,STATEN ISLAND,3
2010-05,Heating/Hot Water,Unspecified,5919
2010-05,Homeless/Shelter,BRONX,5
2010-05,Homeless/Shelter,BROOKLYN,45
2010-05,Homeless/Shelter,MANHATTAN,75
2010-05,Homeless/Shelter,QUEENS,35
2010-05,Homeless/Shelter,STATEN ISLAND,5
2010-05,Plumbing,BRONX,36
2010-05,Plumbing,BROOKLYN,96
2010-05,Plumbing,MANHATTAN,51
2010-05,Plumbing,QUEENS,96
2010-05,Plumbing,STATEN ISLAND,29
2010-05,Plumbing,Unspecified,7487
2010-05,Snow/Ice,STATEN ISLAND,1
2010-05,Water/Leak,BRONX,825
2010-05,Water/Leak,BROOKLYN,1075
2010-05,Water/Leak,MANHATTAN,869
2010-05,Water/Leak,QUEENS,1178
2010-05,Water/Leak,STATEN ISLAND,563
2010-06,Boilers,BRONX,15
2010-06,Boilers,BROOKLYN,21
2010-06,Boilers,MANHATTAN,14
2010-06,Boilers,QUEENS,11
2010-06,Boilers,STATEN ISLAND,1
2010-06,Heating/Hot Water,BROOKLYN,2
2010-06,Heating/Hot Water,MANHATTAN,1
2010-06,Heating/Hot Water,Unspecified,1955
2010-06,Homeless/Shelter,BRONX,14
2010-06,Homeless/Shelter,BROOKLYN,40
2010-06,Homeless/Shelter,MANHATTAN,97
2010-06,Homeless/Shelter,QUEENS,25
2010-06,Plumbing,BRONX,30
2010-06,Plumbing,BROOKLYN,84
2010-06,Plumbing,MANHATTAN,59
2010-06,Plumbing,QUEENS,133
2010-06,Plumbing,STATEN ISLAND,32
2010-06,Plumbing,Unspecified,7697
2010-06,Water/Leak,BRONX,2753
2010-06,Water/Leak,BROOKLYN,2169
2010-06,Water/Leak,MANHATTAN,2397
2010-06,Water/Leak,QUEENS,2038
2010-06,Water/Leak,STATEN ISLAND,397
2010-06,Water/Leak,Unspecified,26
2010-07,Boilers,BRONX,15
2010-07,Boilers,BROOKLYN,20
2010-07,Boilers,MANHATTAN,17
2010-07,Boilers,QUEENS,10
2010-07,Heating/Hot Water,BRONX,2
2010-07,Heating/Hot Water,BROOKLYN,2
2010-07,Heating/Hot Water,QUEENS,1
2010-07,Heating/Hot Water,Unspecified,1713
2010-07,Homeless/Shelter,BRONX,12
2010-07,Homeless/Shelter,BROOKLYN,51
2010-07,Homeless/Shelter,MANHATTAN,113
2010-07,Homeless/Shelter,QUEENS,42
2010-07,Plumbing,BRONX,43
2010-07,Plumbing,BROOKLYN,87
2010-07,Plumbing,MANHATTAN,53
2010-07,Plumbing,QUEENS,103
2010-07,Plumbing,STATEN ISLAND,29
2010-07,Plumbing,Unspecified,8527
2010-07,Snow/Ice,BRONX,1
2010-07,Water/Leak,BRONX,4810
2010-07,Water/Leak,BROOKLYN,5015
2010-07,Water/Leak,MANHATTAN,3726
2010-07,Water/Leak,QUEENS,3539
2010-07,Water/Leak,STATEN ISLAND,496
2010-07,Water/Leak,Unspecified,165
2010-08,Boilers,BRONX,14
2010-08,Boilers,BROOKLYN,29
2010-08,Boilers,MANHATTAN,27
2010-08,Boilers,QUEENS,13
2010-08,Boilers,STATEN ISLAND,6
2010-08,Heating/Hot Water,MANHATTAN,2
2010-08,Heating/Hot Water,Unspecified,1910
2010-08,Homeless/Shelter,BRONX,14
2010-08,Homeless/Shelter,BROOKLYN,65
2010-08,Homeless/Shelter,MANHATTAN,108
2010-08,Homeless/Shelter,QUEENS,38
2010-08,Homeless/Shelter,STATEN ISLAND,3
2010-08,Homeless/Shelter,Unspecified,1
2010-08,Plumbing,BRONX,41
2010-08,Plumbing,BROOKLYN,97
2010-08,Plumbing,MANHATTAN,69
2010-08,Plumbing,QUEENS,97
2010-08,Plumbing,STATEN ISLAND,24
2010-08,Plumbing,Unspecified,8464
2010-08,Snow/Ice,BROOKLYN,1
2010-08,Water/Leak,BRONX,1564
2010-08,Water/Leak,BROOKLYN,1868
2010-08,Water/Leak,MANHATTAN,1219
2010-08,Water/Leak,QUEENS,1684
2010-08,Water/Leak,STATEN ISLAND,593
2010-08,Water/Leak,Unspecified,5
2010-09,Boilers,BRONX,13
2010-09,Boilers,BROOKLYN,37
2010-09,Boilers,MANHATTAN,20
2010-09,Boilers,QUEENS,15
2010-09,Boilers,STATEN ISLAND,1
2010-09,Heating/Hot Water,BRONX,2
2010-09,Heating/Hot Water,BROOKLYN,6
2010-09,Heating/Hot Water,QUEENS,1
2010-09,Heating/Hot Water,Unspecified,2192
2010-09,Homeless/Shelter,BRONX,15
2010-09,Homeless/Shelter,BROOKLYN,68
2010-09,Homeless/Shelter,MANHATTAN,123
2010-09,Homeless/Shelter,QUEENS,25
2010-09,Homeless/Shelter,STATEN ISLAND,7
2010-09,Plumbing,BRONX,45
2010-09,Plumbing,BROOKLYN,116
2010-09,Plumbing,MANHATTAN,72
2010-09,Plumbing,QUEENS,116
2010-09,Plumbing,STATEN ISLAND,27
2010-09,Plumbing,Unspecified,8378
2010-09,Water/Leak,BRONX,879
2010-09,Water/Leak,BROOKLYN,1103
2010-09,Water/Leak,MANHATTAN,901
2010-09,Water/Leak,QUEENS,1292
2010-09,Water/Leak,STATEN ISLAND,261
2010-09,Water/Leak,Unspecified,2
2010-10,Boilers,BRONX,34
2010-10,Boilers,BROOKLYN,60
2010-10,Boilers,MANHATTAN,32
2010-10,Boilers,QUEENS,38
2010-10,Boilers,STATEN ISLAND,3
2010-10,Heating/Hot Water,BRONX,10
2010-10,Heating/Hot Water,BROOKLYN,14
2010-10,Heating/Hot Water,MANHATTAN,23
2010-10,Heating/Hot Water,QUEENS,10
2010-10,Heating/Hot Water,STATEN ISLAND,2
2010-10,Heating/Hot Water,Unspecified,19510
2010-10,Homeless/Shelter,BRONX,5
2010-10,Homeless/Shelter,BROOKLYN,52
2010-10,Homeless/Shelter,MANHATTAN,96
2010-10,Homeless/Shelter,QUEENS,27
2010-10,Homeless/Shelter,STATEN ISLAND,4
2010-10,Plumbing,BRONX,44
2010-10,Plumbing,BROOKLYN,123
2010-10,Plumbing,MANHATTAN,65
2010-10,Plumbing,QUEENS,115
2010-10,Plumbing,STATEN ISLAND,33
2010-10,Plumbing,Unspecified,9754
2010-10,Water/Leak,BRONX,374
2010-10,Water/Leak,BROOKLYN,724
2010-10,Water/Leak,MANHATTAN,662
2010-10,Water/Leak,QUEENS,1427
2010-10,Water/Leak,STATEN ISLAND,402
2010-10,Water/Leak,Unspecified,8
2010-11,Boilers,BRONX,65
2010-11,Boilers,BROOKLYN,75
2010-11,Boilers,MANHATTAN,75
2010-11,Boilers,QUEENS,40
2010-11,Boilers,STATEN ISLAND,8
2010-11,Heating/Hot Water,BRONX,24
2010-11,Heating/Hot Water,BROOKLYN,50
2010-11,Heating/Hot Water,MANHATTAN,88
2010-11,Heating/Hot Water,QUEENS,30
2010-11,Heating/Hot Water,STATEN ISLAND,4
2010-11,Heating/Hot Water,Unspecified,37266
2010-11,Homeless/Shelter,BRONX,9
2010-11,Homeless/Shelter,BROOKLYN,34
2010-11,Homeless/Shelter,MANHATTAN,65
2010-11,Homeless/Shelter,QUEENS,17
2010-11,Homeless/Shelter,STATEN ISLAND,1
2010-11,Plumbing,BRONX,22
2010-11,Plumbing,BROOKLYN,80
2010-11,Plumbing,MANHATTAN,63
2010-11,Plumbing,QUEENS,127
2010-11,Plumbing,STATEN ISLAND,39
2010-11,Plumbing,Unspecified,9091
2010-11,Snow/Ice,MANHATTAN,1
2010-11,Water/Leak,BRONX,394
2010-11,Water/Leak,BROOKLYN,898
2010-11,Water/Leak,MANHATTAN,638
2010-11,Water/Leak,QUEENS,1380
2010-11,Water/Leak,STATEN ISLAND,465
2010-11,Water/Leak,Unspecified,2
2010-12,Boilers,BRONX,91
2010-12,Boilers,BROOKLYN,109
2010-12,Boilers,MANHATTAN,87
2010-12,Boilers,QUEENS,60
2010-12,Boilers,STATEN ISLAND,6
2010-12,Heating/Hot Water,BRONX,64
2010-12,Heating/Hot Water,BROOKLYN,135
2010-12,Heating/Hot Water,MANHATTAN,134
2010-12,Heating/Hot Water,QUEENS,69
2010-12,Heating/Hot Water,STATEN ISLAND,10
2010-12,Heating/Hot Water,Unspecified,51364
2010-12,Homeless/Shelter,BRONX,10
2010-12,Homeless/Shelter,BROOKLYN,24
2010-12,Homeless/Shelter,MANHATTAN,37
2010-12,Homeless/Shelter,QUEENS,9
2010-12,Plumbing,BRONX,20
2010-12,Plumbing,BROOKLYN,79
2010-12,Plumbing,MANHATTAN,52
2010-12,Plumbing,QUEENS,78
2010-12,Plumbing,STATEN ISLAND,19
2010-12,Plumbing,Unspecified,9994
2010-12,Snow/Ice,BRONX,124
2010-12,Snow/Ice,BROOKLYN,1233
2010-12,Snow/Ice,MANHATTAN,130
2010-12,Snow/Ice,QUEENS,843
2010-12,Snow/Ice,STATEN ISLAND,310
2010-12,Snow/Ice,Unspecified,4
2010-12,Water/Leak,BRONX,413
2010-12,Water/Leak,BROOKLYN,964
2010-12,Water/Leak,MANHATTAN,542
2010-12,Water/Leak,QUEENS,1556
2010-12,Water/Leak,STATEN ISLAND,461
2010-12,Water/Leak,Unspecified,1
2011-01,Boilers,BRONX,79
2011-01,Boilers,BROOKLYN,90
2011-01,Boilers,MANHATTAN,100
2011-01,Boilers,QUEENS,55
2011-01,Boilers,STATEN ISLAND,8
2011-01,Heating/Hot Water,BRONX,53
2011-01,Heating/Hot Water,BROOKLYN,87
2011-01,Heating/Hot Water,MANHATTAN,126
2011-01,Heating/Hot Water,QUEENS,85
2011-01,Heating/Hot Water,STATEN ISLAND,5
2011-01,Heating/Hot Water,Unspecified,39619
2011-01,Homeless/Shelter,BRONX,15
2011-01,Homeless/Shelter,BROOKLYN,18
2011-01,Homeless/Shelter,MANHATTAN,37
2011-01,Homeless/Shelter,QUEENS,4
2011-01,Homeless/Shelter,STATEN ISLAND,5
2011-01,Plumbing,BRONX,36
2011-01,Plumbing,BROOKLYN,110
2011-01,Plumbing,MANHATTAN,58
2011-01,Plumbing,QUEENS,104
2011-01,Plumbing,STATEN ISLAND,32
2011-01,Plumbing,Unspecified,10559
2011-01,Snow/Ice,BRONX,677
2011-01,Snow/Ice,BROOKLYN,3133
2011-01,Snow/Ice,MANHATTAN,449
2011-01,Snow/Ice,QUEENS,3025
2011-01,Snow/Ice,STATEN ISLAND,1322
2011-01,Snow/Ice,Unspecified,49
2011-01,Water/Leak,BRONX,390
2011-01,Water/Leak,BROOKLYN,872
2011-01,Water/Leak,MANHATTAN,588
2011-01,Water/Leak,QUEENS,1582
2011-01,Water/Leak,STATEN ISLAND,414
2011-01,Water/Leak,Unspecified,2
2011-02,Boilers,BRONX,45
2011-02,Boilers,BROOKLYN,66
2011-02,Boilers,MANHATTAN,49
2011-02,Boilers,QUEENS,27
2011-02,Boilers,STATEN ISLAND,4
2011-02,Heating/Hot Water,BRONX,21
2011-02,Heating/Hot Water,BROOKLYN,43
2011-02,Heating/Hot Water,MANHATTAN,59
2011-02,Heating/Hot Water,QUEENS,31
2011-02,Heating/Hot Water,STATEN ISLAND,1
2011-02,Heating/Hot Water,Unspecified,24669
2011-02,Homeless/Shelter,BRONX,7
2011-02,Homeless/Shelter,BROOKLYN,20
2011-02,Homeless/Shelter,MANHATTAN,29
2011-02,Homeless/Shelter,QUEENS,5
2011-02,Homeless/Shelter,STATEN ISLAND,1
2011-02,Plumbing,BRONX,32
2011-02,Plumbing,BROOKLYN,82
2011-02,Plumbing,MANHATTAN,54
2011-02,Plumbing,QUEENS,114
2011-02,Plumbing,STATEN ISLAND,30
2011-02,Plumbing,Unspecified,8585
2011-02,Snow/Ice,BRONX,604
2011-02,Snow/Ice,BROOKLYN,998
2011-02,Snow/Ice,MANHATTAN,386
2011-02,Snow/Ice,QUEENS,1021
2011-02,Snow/Ice,STATEN ISLAND,368
2011-02,Snow/Ice,Unspecified,22
2011-02,Water/Leak,BRONX,422
2011-02,Water/Leak,BROOKLYN,1042
2011-02,Water/Leak,MANHATTAN,578
2011-02,Water/Leak,QUEENS,1351
2011-02,Water/Leak,STATEN ISLAND,339
2011-03,Boilers,BRONX,49
2011-03,Boilers,BROOKLYN,42
2011-03,Boilers,MANHATTAN,46
2011-03,Boilers,QUEENS,28
2011-03,Boilers,STATEN ISLAND,5
2011-03,Heating/Hot Water,BRONX,5108
2011-03,Heating/Hot Water,BROOKLYN,5848
2011-03,Heating/Hot Water,MANHATTAN,3794
2011-03,Heating/Hot Water,QUEENS,2413
