season,category,complaints
2009-2010,Boilers,764
2009-2010,Heating/Hot Water,83030
2009-2010,Homeless/Shelter,236
2009-2010,Plumbing,34361
2009-2010,Snow/Ice,9376
2009-2010,Water/Leak,11526
2010-2011,Boilers,1476
2010-2011,Heating/Hot Water,195416
2010-2011,Homeless/Shelter,646
2010-2011,Plumbing,60108
2010-2011,Snow/Ice,14719
2010-2011,Water/Leak,22760
2011-2012,Boilers,1334
2011-2012,Heating/Hot Water,156065
2011-2012,Homeless/Shelter,692
2011-2012,Plumbing,56258
2011-2012,Snow/Ice,537
2011-2012,Water/Leak,19751
2012-2013,Boilers,1540
2012-2013,Heating/Hot Water,177498
2012-2013,Homeless/Shelter,809
2012-2013,Plumbing,46866
2012-2013,Snow/Ice,1587
2012-2013,Water/Leak,20417
2013-2014,Boilers,1416
2013-2014,Heating/Hot Water,196890
2013-2014,Homeless/Shelter,1364
2013-2014,Plumbing,48981
2013-2014,Snow/Ice,15562
2013-2014,Water/Leak,25878
2014-2015,Boilers,959
2014-2015,Heating/Hot Water,213907
2014-2015,Homeless/Shelter,2656
2014-2015,Plumbing,32057
2014-2015,Snow/Ice,13138
2014-2015,Water/Leak,49358
2015-2016,Boilers,1036
2015-2016,Heating/Hot Water,180766
2015-2016,Homeless/Shelter,10246
2015-2016,Plumbing,30713
2015-2016,Snow/Ice,5324
2015-2016,Water/Leak,48251
2016-2017,Boilers,1126
2016-2017,Heating/Hot Water,182235
2016-2017,Homeless/Shelter,15573
2016-2017,Plumbing,32226
2016-2017,Snow/Ice,11258
2016-2017,Water/Leak,44431
2017-2018,Boilers,1145
2017-2018,Heating/Hot Water,198339
2017-2018,Homeless/Shelter,10187
2017-2018,Plumbing,32823
2017-2018,Snow/Ice,5127
2017-2018,Water/Leak,52372
2018-2019,Boilers,1396
2018-2019,Heating/Hot Water,191250
2018-2019,Homeless/Shelter,8314
2018-2019,Plumbing,32848
2018-2019,Snow/Ice,1686
2018-2019,Water/Leak,49466
2019-2020,Boilers,1461
2019-2020,Heating/Hot Water,147033
2019-2020,Homeless/Shelter,13229
2019-2020,Plumbing,12899
2019-2020,Snow/Ice,626
2019-2020,Water/Leak,29208
2020-2021,Boilers,1681
2020-2021,Heating/Hot Water,159828
2020-2021,Homeless/Shelter,11253
2020-2021,Plumbing,25489
2020-2021,Snow/Ice,11929
2020-2021,Water/Leak,35621
2021-2022,Boilers,2194
2021-2022,Heating/Hot Water,200596
2021-2022,Homeless/Shelter,37141
2021-2022,Plumbing,31513
2021-2022,Snow/Ice,5613
2021-2022,Water/Leak,41542
2022-2023,Boilers,1978
2022-2023,Heating/Hot Water,204318
2022-2023,Homeless/Shelter,29431
2022-2023,Plumbing,33233
2022-2023,Snow/Ice,394
2022-2023,Water/Leak,41012
2023-2024,Boilers,1902
2023-2024,Heating/Hot Water,213386
2023-2024,Homeless/Shelter,32011
2023-2024,Plumbing,36886
2023-2024,Snow/Ice,4492
2023-2024,Water/Leak,48410
2024-2025,Boilers,2150
2024-2025,Heating/Hot Water,257208
2024-2025,Homeless/Shelter,33972
2024-2025,Plumbing,37209
2024-2025,Snow/Ice,8808
2024-2025,Water/Leak,49831
2025-2026,Boilers,2582
2025-2026,Heating/Hot Water,273557
2025-2026,Homeless/Shelter,26393
2025-2026,Plumbing,37064
2025-2026,Snow/Ice,40792
2025-2026,Water/Leak,45330
